kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
method,ByteArrayPool,ByteArrayPool,,,,method356,formatAmountWithColorTags,ByteArrayPool,module,high,approved,
method,ByteArrayPool,ByteArrayPool,,,,method357,releaseByteArray,ByteArrayPool,module,high,approved,
method,ByteArrayPool,ByteArrayPool,,,,method358,queueAreaSoundEffect,ByteArrayPool,module,high,approved,
method,ByteArrayPool,ByteArrayPool,,,,method359,acquireByteArray,ByteArrayPool,module,high,approved,
field,ByteArrayPool,ByteArrayPool,,,,anInt492,visibleTileMinX,ByteArrayPool,module,high,approved,Minimum visible scene tile X for viewport culling window
field,ByteArrayPool,ByteArrayPool,,,,anInt495,entityPriorityMode,ByteArrayPool,module,high,approved,Server-driven entity sort/priority mode flag
field,ByteArrayPool,ByteArrayPool,,,,anInt496,chatChannelMemberCount,ByteArrayPool,module,high,approved,Current chat-channel roster size
field,ByteArrayPool,ByteArrayPool,,,,anInt9412,smallPoolCount,ByteArrayPool,module,high,approved,Current number of cached 100-byte buffers
field,ByteArrayPool,ByteArrayPool,,,,aByteArrayArray358,smallPoolBuffers,ByteArrayPool,module,high,approved,Cached 100-byte buffer storage
field,ByteArrayPool,ByteArrayPool,,,,anInt9280,mediumPoolCount,ByteArrayPool,module,high,approved,Current number of cached 5000-byte buffers
field,ByteArrayPool,ByteArrayPool,,,,aByteArrayArray1918,mediumPoolBuffers,ByteArrayPool,module,high,approved,Cached 5000-byte buffer storage
field,ByteArrayPool,ByteArrayPool,,,,anInt6913,largePoolCount,ByteArrayPool,module,high,approved,Current number of cached 30000-byte buffers
field,ByteArrayPool,ByteArrayPool,,,,aByteArrayArray8505,largePoolBuffers,ByteArrayPool,module,high,approved,Cached 30000-byte buffer storage
field,ByteArrayPool,ByteArrayPool,,,,aByteArrayArrayArray9134,customPoolBuffers,ByteArrayPool,module,high,approved,Cached custom-size buffer buckets
field,ByteArrayPool,ByteArrayPool,,,,anIntArray8684,customPoolBucketSizes,ByteArrayPool,module,high,approved,Configured custom-size buffer bucket lengths
field,ByteArrayPool,ByteArrayPool,,,,anIntArray2552,customPoolCounts,ByteArrayPool,module,high,approved,Current cached-count per custom-size bucket
method,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,method3174,fitViewportAndApplyLetterbox,ByteArraySecondaryNode,module,high,approved,
method,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,method3175,updateSceneEnvironmentAndPostEffects,ByteArraySecondaryNode,module,high,approved,
method,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,method3176,clearStaticState,ByteArraySecondaryNode,module,high,approved,
method,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,method3177,clearWorldMapOverlayState,ByteArraySecondaryNode,module,high,approved,
method,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,method3178,setGroundResourceArchives,ByteArraySecondaryNode,module,high,approved,
method,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,method3179,applyRendererPreferenceMode,ByteArraySecondaryNode,module,high,approved,
field,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,aClass114_9503,legacyServerPacket9,ByteArraySecondaryNode,module,high,approved,Legacy server packet constant id 9
field,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,aByteArray9499,value,ByteArraySecondaryNode,module,high,approved,Stored byte-array payload
field,RasterizerVerticalLine,RasterizerVerticalLine,,,,aShortArray9502,recolorPalette,RasterizerVerticalLine,module,high,approved,Shared recolor palette lookup
field,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,aBoolean9498,mapBuildShadowsEnabled,ByteArraySecondaryNode,module,high,approved,Global toggle used during map build to apply object-ground shadow stamping
field,PacketWriter,PacketWriter,,,,anInt9504,onscreenTransientCount,PacketWriter,module,high,approved,Count of onscreen transient entities for sorting/debug
field,ByteArraySecondaryNode,ByteArraySecondaryNode,,,,anIntArray9505,projectedScreenCoords,ByteArraySecondaryNode,module,high,approved,Temporary projected screen xyz coords
field,ChatLine,ChatLine,,,,anInt9501,chatMessageCycle,ChatLine,module,high,approved,Chat-line event cycle marker used by widget trigger comparisons
local,ClientFrameUpdateUtil,ClientFrameUpdateUtil,,,,class302,frameUpdateUtilVar,ClientFrameUpdateUtil,module,high,approved,
local,ClientFrameUpdateUtil,ClientFrameUpdateUtil,,,,class302s,frameUpdateUtilVars,ClientFrameUpdateUtil,module,high,approved,
field,DequeIterator,DequeIterator,,,,aClass262_3923,deque,DequeIterator,module,high,approved,Deque being iterated
field,DequeIterator,DequeIterator,,,,aClass348_3922,iterCursor,DequeIterator,module,high,approved,Iterator cursor for current deque traversal
method,DequeIterator,DequeIterator,,,,method2327,first,DequeIterator,module,high,approved,
method,DequeIterator,DequeIterator,,,,method2328,setDeque,DequeIterator,module,high,approved,
method,DequeIterator,DequeIterator,,,,method2329,next,DequeIterator,module,high,approved,
method,DequeIterator,DequeIterator,,,,method2330,resetInboundProtocolState,DequeIterator,module,high,approved,
method,DequeIterator,DequeIterator,,,,method2331,clearStaticState,DequeIterator,module,high,approved,
method,DequeIterator,DequeIterator,,,,method2332,hasBit0x20,DequeIterator,module,high,approved,
field,DoublyLinkedNode,DoublyLinkedNode,,,,aClass318_3970,next,DoublyLinkedNode,module,high,approved,Next node in intrusive deque
field,DoublyLinkedNode,DoublyLinkedNode,,,,aClass318_3976,prev,DoublyLinkedNode,module,high,approved,Previous node in intrusive deque
local,DoublyLinkedNode,DoublyLinkedNode,,,,class318,doublyLinkedNodeVar,DoublyLinkedNode,module,high,approved,
local,DoublyLinkedNode,DoublyLinkedNode,,,,class318s,doublyLinkedNodeVars,DoublyLinkedNode,module,high,approved,
method,DoublyLinkedNode,DoublyLinkedNode,,,,method2373,unlink,DoublyLinkedNode,module,high,approved,Detach node from intrusive doubly linked deque
method,DoublyLinkedNode,DoublyLinkedNode,,,,method2374,clearStaticState,DoublyLinkedNode,module,high,approved,
method,DoublyLinkedNode,DoublyLinkedNode,,,,method2375,clearBufferedSocketCache,DoublyLinkedNode,module,high,approved,
method,DoublyLinkedNodeUtil,DoublyLinkedNodeUtil,,,,method1882,clearStaticState,DoublyLinkedNodeUtil,module,high,approved,
method,DoublyLinkedNodeUtil,DoublyLinkedNodeUtil,,,,method1883,linkBefore,DoublyLinkedNodeUtil,module,high,approved,
method,DoublyLinkedNodeUtil,DoublyLinkedNodeUtil,,,,method1884,renderOcclusionDebugOverlay,DoublyLinkedNodeUtil,module,high,approved,
field,DualNode,DualNode,,,,aClass318_Sub9_6468,dualPrev,DualNode,module,high,approved,
field,DualNode,DualNode,,,,aClass318_Sub9_6469,dualNext,DualNode,module,high,approved,
method,DualNode,DualNode,,,,method2514,unlinkDual,DualNode,module,high,approved,
field,HardReferenceNode,HardReferenceNode,,,,aClass230_10434,modeGame,HardReferenceNode,module,high,approved,ModeGame reference used by HardReferenceNode static state
field,HardReferenceNode,HardReferenceNode,,,,aClass74_10437,zoneUpdateType,HardReferenceNode,module,high,approved,Zone update type used by packet handling
field,,SceneLightingState,,,,aLongArrayArrayArray10431,sceneTileLightTags,SceneLightingState,module,high,approved,Scene tile light-tag grid used by scene/entity rendering
field,,SceneLightingState,,,,aClass76_10436,scenePickBufferQueue,SceneLightingState,module,high,approved,Shared scene pick buffer queue
field,HardReferenceNode,HardReferenceNode,,,,anInt10430,processInboundServerPacketsCount,HardReferenceNode,module,high,approved,Invocation counter for inbound packet dispatcher
field,,SceneRenderFlags,,,,anInt10433,hasRenderableSceneFlagsChecks,SceneRenderFlags,module,high,approved,Invocation counter for hasRenderableSceneFlags
field,HardReferenceNode,HardReferenceNode,,,,anInt10435,getValueCount,HardReferenceNode,module,high,approved,Invocation counter for getValue
field,HardReferenceNode,HardReferenceNode,,,,anInt10438,isSoftChecks,HardReferenceNode,module,high,approved,Invocation counter for isSoft
field,HardReferenceNode,HardReferenceNode,,,,anInt10432,renderHeight,HardReferenceNode,module,high,approved,Global game render height
field,HardReferenceNode,HardReferenceNode,,,,anObject10429,value,HardReferenceNode,module,high,approved,Hard reference payload value
method,HardReferenceNode,HardReferenceNode,,,,method3193,getValue,HardReferenceNode,module,high,approved,Hard reference value accessor
method,HardReferenceNode,HardReferenceNode,,,,method3195,isSoft,HardReferenceNode,module,high,approved,Hard reference nodes are not soft
method,,SceneRenderFlags,,,,method3200,hasRenderableSceneFlags,SceneRenderFlags,module,high,approved,
method,HardReferenceNode,HardReferenceNode,,,,method3201,processInboundServerPackets,HardReferenceNode,module,high,approved,Reads and dispatches inbound server packets
method,,SceneLightingState,,,,method3202,clearSceneLightingState,SceneLightingState,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,bool_15_,hasDisplayNameFlag,HardReferenceNode,module,high,approved,[auto-collision-resolve: bool_15_ -> hasDisplayNameFlag]
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,bool_233_,hasDisplayNameOverride,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,bool_235_,isSorted,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,bool_81_,hasSenderIcon,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,bool_83_,suppressQuickChatMessage,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,class348_sub41,mapRegionLoader,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,class348_sub41_10_,targetMapRegionLoader,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,flag20,suppressMessage,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_234_,friendEntryIndex,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_236_,sortPassRemaining,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_237_,sortCompareIndex,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_71_,existingFriendIndex,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_73_,insertPosition,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_74_,nameCompare,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_75_,shiftIndex,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,i_76_,pendingSpawnSlot,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,l_19_,chatDedupeKey,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,string_84_,chatMessageText,HardReferenceNode,module,high,approved,
local,HardReferenceNode,HardReferenceNode,processInboundServerPackets,,,text82,senderDisplayName,HardReferenceNode,module,high,approved,
field,HashTable,HashTable,,,,aClass348Array4374,buckets,HashTable,module,high,approved,Bucket sentinel nodes (one per bucket)
field,HashTable,HashTable,,,,aClass348_4389,searchCursor,HashTable,module,high,approved,Cursor used by method3476/method3480
field,HashTable,HashTable,,,,aClass348_4390,iterCursor,HashTable,module,high,approved,Cursor used by method3482 iteration
field,HashTable,HashTable,,,,aLong4385,searchKey,HashTable,module,high,approved,Current lookup key during search/iteration
field,HashTable,HashTable,,,,anInt4377,bucketCount,HashTable,module,high,approved,Number of buckets
field,HashTable,HashTable,,,,anInt4391,iterBucketIndex,HashTable,module,high,approved,Current bucket index during iteration
method,HashTable,HashTable,,,,method3474,size,HashTable,module,high,approved,Count nodes in table
method,HashTable,HashTable,,,,method3475,getBucketCount,HashTable,module,high,approved,Return configured bucket count
method,HashTable,HashTable,,,,method3476,nextWithKey,HashTable,module,high,approved,Continue lookup for duplicate key
method,HashTable,HashTable,,,,method3477,copyNodesToArray,HashTable,module,high,approved,Copy all nodes into destination array
method,HashTable,HashTable,,,,method3478,clearStaticState,HashTable,module,high,approved,
method,HashTable,HashTable,,,,method3479,nextVisibleWorldMapMarker,HashTable,module,high,approved,
method,HashTable,HashTable,,,,method3480,get,HashTable,module,high,approved,Lookup first node by key
method,HashTable,HashTable,,,,method3481,clear,HashTable,module,high,approved,Clear all buckets
method,HashTable,HashTable,,,,method3482,next,HashTable,module,high,approved,Advance table iteration
method,HashTable,HashTable,,,,method3483,put,HashTable,module,high,approved,Insert node by key
method,HashTable,HashTable,,,,method3484,first,HashTable,module,high,approved,Start table iteration
field,HashTableIterator,HashTableIterator,,,,aClass348_4150,iterCursor,HashTableIterator,module,high,approved,Cursor within current bucket chain
field,HashTableIterator,HashTableIterator,,,,aClass356_4146,table,HashTableIterator,module,high,approved,Hash table being iterated
field,HashTableIterator,HashTableIterator,,,,anInt4148,iterBucketIndex,HashTableIterator,module,high,approved,Current bucket index during iteration
method,HashTableIterator,HashTableIterator,,,,method2643,setTileOverlayData,HashTableIterator,module,high,approved,Write decoded tile-overlay color/texture/shape into region overlay buffers
method,HashTableIterator,HashTableIterator,,,,method2644,first,HashTableIterator,module,high,approved,Start iterator at first node
method,HashTableIterator,HashTableIterator,,,,method2645,clearStaticState,HashTableIterator,module,high,approved,
method,HashTableIterator,HashTableIterator,,,,method2646,next,HashTableIterator,module,high,approved,Advance iterator to next node
field,IntHashTable,IntHashTable,,,,aClass348_Sub51_3959,clientPreferences,IntHashTable,module,high,approved,Global client preferences handle
field,IntHashTable,IntHashTable,,,,anIntArray3961,table,IntHashTable,module,high,approved,Interleaved key/index lookup table
method,IntHashTable,IntHashTable,,,,method2363,prepareSceneHeightLoad,IntHashTable,module,high,approved,
method,IntHashTable,IntHashTable,,,,method2364,drawCubicBezier,IntHashTable,module,high,approved,
